Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	150	150	150	150	150	150	150	10
0	0	0	0	0	0	0	0	1024
1	500	500	500	500	500	500	500	1024
2	1500	1500	1500	1500	1500	1500	1500	1024
3	3750	3750	3750	3750	3750	3750	3750	1024
4	7875	7875	7875	7875	7875	7875	7875	1024
5	14175	14175	14175	14175	14175	14175	14175	1024
6	22680	22680	22680	22680	22680	22680	22680	1024
7	32886	32886	32886	32886	32886	32886	32886	1024
8	44396	44396	44396	44396	44396	44396	44396	1024
9	57715	57715	57715	57715	57715	57715	57715	1024
10	72144	72144	72144	72144	72144	72144	72144	1024
11	90180	90180	90180	90180	90180	90180	90180	1024
12	112725	112725	112725	112725	112725	112725	112725	1024
13	140906	140906	140906	140906	140906	140906	140906	1024
14	176132	176132	176132	176132	176132	176132	176132	1024
15	220165	220165	220165	220165	220165	220165	220165	1024
16	275207	275207	275207	275207	275207	275207	275207	1024
17	344008	344008	344008	344008	344008	344008	344008	1024
18	430010	430010	430010	430010	430010	430010	430010	1024
19	537513	537513	537513	537513	537513	537513	537513	1024
20	671891	671891	671891	671891	671891	671891	671891	1024
21	839864	839864	839864	839864	839864	839864	839864	1024
22	1049830	1049830	1049830	1049830	1049830	1049830	1049830	1024
23	1312287	1312287	1312287	1312287	1312287	1312287	1312287	1024
24	1640359	1640359	1640359	1640359	1640359	1640359	1640359	1024
25	2050449	2050449	2050449	2050449	2050449	2050449	2050449	1024
26	2563061	2563061	2563061	2563061	2563061	2563061	2563061	1024
27	3203826	3203826	3203826	3203826	3203826	3203826	3203826	1024
28	3902260	3902260	3902260	3902260	3902260	3902260	3902260	1024
29	4663553	4663553	4663553	4663553	4663553	4663553	4663553	1024
30	5493363	5493363	5493363	5493363	5493363	5493363	5493363	1024
31	6397855	6397855	6397855	6397855	6397855	6397855	6397855	1024
32	7383752	7383752	7383752	7383752	7383752	7383752	7383752	1024
33	8458379	8458379	8458379	8458379	8458379	8458379	8458379	1024
34	9629723	9629723	9629723	9629723	9629723	9629723	9629723	1024
35	10906488	10906488	10906488	10906488	10906488	10906488	10906488	1024
36	12298162	12298162	12298162	12298162	12298162	12298162	12298162	1024
37	13815086	13815086	13815086	13815086	13815086	13815086	13815086	1024
38	15468534	15468534	15468534	15468534	15468534	15468534	15468534	1024
39	17270791	17270791	17270791	17270791	17270791	17270791	17270791	1024
40	19235252	19235252	19235252	19235252	19235252	19235252	19235252	1024
41	21376515	21376515	21376515	21376515	21376515	21376515	21376515	1024
42	23710491	23710491	23710491	23710491	23710491	23710491	23710491	1024
43	26254525	26254525	26254525	26254525	26254525	26254525	26254525	1024
44	29027522	29027522	29027522	29027522	29027522	29027522	29027522	1024
45	32050088	32050088	32050088	32050088	32050088	32050088	32050088	1024
46	35344686	35344686	35344686	35344686	35344686	35344686	35344686	1024
47	38935798	38935798	38935798	38935798	38935798	38935798	38935798	1024
48	42850109	42850109	42850109	42850109	42850109	42850109	42850109	1024
49	47116709	47116709	47116709	47116709	47116709	47116709	47116709	1024
50	51767302	51767302	51767302	51767302	51767302	51767302	51767302	1024
51	56836449	56836449	56836449	56836449	56836449	56836449	56836449	1024
52	62361819	62361819	62361819	62361819	62361819	62361819	62361819	1024
53	68384473	68384473	68384473	68384473	68384473	68384473	68384473	1024
54	74949165	74949165	74949165	74949165	74949165	74949165	74949165	1024
55	82104680	82104680	82104680	82104680	82104680	82104680	82104680	1024
56	89904191	89904191	89904191	89904191	89904191	89904191	89904191	1024
57	98405658	98405658	98405658	98405658	98405658	98405658	98405658	1024
58	107672256	107672256	107672256	107672256	107672256	107672256	107672256	1024
59	117772849	117772849	117772849	117772849	117772849	117772849	117772849	1024
60	128782495	128782495	128782495	128782495	128782495	128782495	128782495	1024
61	140783010	140783010	140783010	140783010	140783010	140783010	140783010	1024
62	153863570	153863570	153863570	153863570	153863570	153863570	153863570	1024
63	168121381	168121381	168121381	168121381	168121381	168121381	168121381	1024
64	183662396	183662396	183662396	183662396	183662396	183662396	183662396	1024
65	200602101	200602101	200602101	200602101	200602101	200602101	200602101	1024
66	219066380	219066380	219066380	219066380	219066380	219066380	219066380	1024
67	239192444	239192444	239192444	239192444	239192444	239192444	239192444	1024
68	261129853	261129853	261129853	261129853	261129853	261129853	261129853	1024
69	285041630	285041630	285041630	285041630	285041630	285041630	285041630	1024
70	311105466	311105466	311105466	311105466	311105466	311105466	311105466	976
71	339515048	339515048	339515048	339515048	339515048	339515048	339515048	928
72	370481492	370481492	370481492	370481492	370481492	370481492	370481492	880
73	404234916	404234916	404234916	404234916	404234916	404234916	404234916	832
74	441026148	441026148	441026148	441026148	441026148	441026148	441026148	784
75	481128591	481128591	481128591	481128591	481128591	481128591	481128591	736
76	524840254	524840254	524840254	524840254	524840254	524840254	524840254	688
77	572485967	572485967	572485967	572485967	572485967	572485967	572485967	640
78	624419793	624419793	624419793	624419793	624419793	624419793	624419793	592
79	681027665	681027665	681027665	681027665	681027665	681027665	681027665	544
80	742730244	742730244	742730244	742730244	742730244	742730244	742730244	496
81	809986056	809986056	809986056	809986056	809986056	809986056	809986056	448
82	883294891	883294891	883294891	883294891	883294891	883294891	883294891	400
83	963201521	963201521	963201521	963201521	963201521	963201521	963201521	352
84	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	304
85	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	256
86	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	192
87	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	144
88	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	108
89	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	81
90	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	61
91	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	46
92	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	35
93	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	26
94	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	20
