Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Normal	0	0	742	1	1	3	150	merc01	merc41	100	100	45	8	15	6	35	10	45	16	10	10	1	3	2	0	8	0	8	0	8	0	8	strhirespecial1	75	Inner Sight	4	10	0	1	10	Fire Arrow	4	25	8	1	10	Dodge	1	25	0	1	10	Pierce	1	25	0	1	10													5	15	2	50000	ama
Rogue Scout	Fire - Normal	0	0	742	1	1	25	150	merc01	merc41	100	100	221	13	147	12	63	10	89	16	230	20	7	9	4	44	7	44	7	44	7	44	7	strhirespecial1	75	Inner Sight	4	10	0	8	10	Fire Arrow	4	69	0	8	10	Dodge	1	69	0	8	10	Pierce	1	69	0	8	10													5	15	2	50000	ama
Rogue Scout	Fire - Normal	0	0	742	1	1	49	150	merc01	merc41	100	100	533	25	435	18	93	10	137	16	710	30	19	21	6	86	5	86	5	86	5	86	5	strhirespecial1	75	Inner Sight	4	10	0	16	10	Fire Arrow	4	69	0	16	10	Dodge	1	69	0	16	10	Pierce	1	69	0	16	10													5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	3	150	merc01	merc41	150	105	45	8	15	6	35	10	45	16	10	10	1	3	2	0	8	0	8	0	8	0	8	strhirespecial2	75	Inner Sight	4	10	0	1	10	Cold Arrow	4	25	2	1	10	Dodge	1	25	0	1	10	Pierce	1	25	0	1	10													5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	25	150	merc01	merc41	150	105	221	12	147	12	63	10	89	16	230	20	7	9	4	44	7	44	7	44	7	44	7	strhirespecial2	75	Inner Sight	4	10	0	8	10	Cold Arrow	4	36	0	8	10	Dodge	1	36	0	8	10	Pierce	1	36	0	8	10													5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	49	150	merc01	merc41	150	105	509	16	435	18	93	10	137	16	710	30	19	21	6	86	5	86	5	86	5	86	5	strhirespecial2	75	Inner Sight	4	10	0	16	10	Cold Arrow	4	36	0	16	10	Dodge	1	36	0	16	10	Pierce	1	36	0	16	10													5	15	2	50000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	25	150	merc01	merc41	6000	110	199	12	132	12	60	10	84	16	207	20	6	8	4	41	7	41	7	41	7	41	7	strhirespecial1	75	Inner Sight	4	10	0	7	10	Fire Arrow	4	69	0	7	10	Dodge	1	69	0	7	10	Pierce	1	69	0	7	10													5	15	2	50000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	49	150	merc01	merc41	6000	110	487	16	420	18	90	10	132	16	687	30	18	20	6	83	5	83	5	83	5	83	5	strhirespecial1	75	Inner Sight	4	10	0	15	10	Fire Arrow	4	69	0	15	10	Dodge	1	69	0	15	10	Pierce	1	69	0	15	10													5	15	2	50000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	25	150	merc01	merc41	7500	115	199	12	132	12	60	10	84	16	207	20	6	8	4	41	7	41	7	41	7	41	7	strhirespecial2	75	Inner Sight	4	10	0	7	10	Cold Arrow	4	69	0	7	10	Dodge	1	69	0	7	10	Pierce	1	69	0	7	10													5	15	2	50000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	49	150	merc01	merc41	7500	115	487	16	420	18	90	10	132	16	687	30	18	20	6	83	5	83	5	83	5	83	5	strhirespecial2	75	Inner Sight	4	10	0	15	10	Cold Arrow	4	69	0	15	10	Dodge	1	69	0	15	10	Pierce	1	69	0	15	10													5	15	2	50000	ama
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	merc01	merc41	12500	120	438	16	378	18	87	10	127	16	618	30	17	19	6	80	5	80	5	80	5	80	5	strhirespecial1	75	Inner Sight	4	10	0	14	10	Fire Arrow	4	69	0	14	10	Dodge	1	69	0	14	10	Pierce	1	69	0	14	10													5	15	2	50000	ama
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	merc01	merc41	14000	125	438	16	378	18	87	10	127	16	618	30	17	19	6	80	5	80	5	80	5	80	5	strhirespecial2	75	Inner Sight	4	10	0	14	10	Cold Arrow	4	69	0	14	10	Dodge	1	69	0	14	10	Pierce	1	69	0	14	10													5	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	merc01	merc41	100	100	45	9	15	8	35	10	45	16	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial1	75	Fire Arrow	4	25	5	1	10	Exploding Arrow	4	0	4	1	5	Dodge	1	10	0	1	5	Pierce	1	10	0	1	5													1	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	6000	110	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial1	75	Fire Arrow	4	67	0	12	10	Exploding Arrow	4	33	10	7	5	Dodge	1	10	0	12	10	Pierce	1	10	0	12	10													1	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	742	1	1	67	150	merc01	merc41	12500	120	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	75	Plague Javelin	4	111	20	12	5	Poison Javelin	4	0	0	12	5	Dodge	1	10	0	22	10	Pierce	1	10	0	22	10													1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	105	45	9	15	8	35	10	45	16	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial2	75	Cold Arrow	4	25	5	1	10	Freezing Arrow	4	0	4	1	3	Dodge	1	10	0	1	10	Pierce	1	10	0	1	10													1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	7500	115	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	75	Cold Arrow	4	67	0	12	10	Freezing Arrow	4	33	10	4	3	Dodge	1	10	0	12	10	Pierce	1	10	0	12	10													1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	14000	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	75	Cold Arrow	4	67	0	22	10	Freezing Arrow	4	111	0	7	3	Dodge	1	10	0	22	10	Pierce	1	10	0	22	10													1	15	2	50000	ama
Rogue Scout	Fire - Nightmare	100	2	742	1	2	36	150	merc01	merc41	6000	110	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial1	75	Plague Javelin	4	33	10	7	5	Poison Javelin	4	0	0	7	5	Dodge	1	10	0	12	10	Pierce	1	10	0	12	10													1	15	2	50000	ama
Rogue Scout	Fire - Nightmare	100	2	742	1	2	67	150	merc01	merc41	12500	120	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	75	Plague Javelin	4	111	0	12	5	Poison Javelin	4	0	0	12	5	Dodge	1	10	0	22	10	Pierce	1	10	0	22	10													1	15	2	50000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	115	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	75	Cold Arrow	4	67	0	12	10	Freezing Arrow	4	33	10	4	3	Dodge	1	10	0	12	10	Pierce	1	10	0	12	10													1	15	2	50000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	merc01	merc41	14000	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	75	Cold Arrow	4	67	0	22	10	Freezing Arrow	4	111	0	7	3	Dodge	1	10	0	22	10	Pierce	1	10	0	22	10													1	15	2	50000	ama
Rogue Scout	Fire - Hell	100	4	742	1	3	67	150	merc01	merc41	12500	120	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	75	Plague Javelin	4	111	0	12	5	Poison Javelin	4	0	0	12	5	Dodge	1	10	0	22	10	Pierce	1	10	0	22	10													1	15	2	50000	ama
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	merc01	merc41	14000	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	75	Cold Arrow	4	67	0	22	10	Freezing Arrow	4	111	0	7	3	Dodge	1	10	0	22	10	Pierce	1	10	0	22	10													1	15	2	50000	ama
Desert Mercenary	Comb-Normal	0	6	744	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname99	30	Zeal	4	90	4	3	10	Meditation	1	100	0	3	10	Prayer	1	0	0	3	10	Sacrafice	1	0	0	3	10													5	15	2	50000	pal
Desert Mercenary	Comb-Normal	0	6	744	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	skillname99	30	Zeal	4	90	4	10	10	Meditation	1	100	0	10	10	Prayer	1	0	0	10	10	Sacrafice	1	0	0	10	10													5	15	2	50000	pal
Desert Mercenary	Comb-Normal	0	6	744	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname99	30	Zeal	4	90	4	18	10	Meditation	1	100	0	18	0	Prayer	1	0	0	18	0	Sacrafice	1	0	0	18	0													5	15	2	50000	pal
Desert Mercenary	Def-Normal	0	7	744	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	7	14	4	18	8	18	8	18	8	18	8	skillname104	30	Zeal	4	70	4	3	10	Defiance	1	1000	0	3	10																									5	15	2	50000	pal
Desert Mercenary	Def-Normal	0	7	744	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	skillname104	30	Zeal	4	92	4	10	10	Defiance	1	1000	0	10	10																									5	15	2	50000	pal
Desert Mercenary	Def-Normal	0	7	744	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname104	30	Zeal	4	116	4	18	0	Defiance	1	1000	0	18	0																									5	15	2	50000	pal
Desert Mercenary	Off-Normal	0	8	744	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	7	14	4	18	8	18	8	18	8	18	8	skillname108	30	Zeal	4	90	4	3	10	Blessed Aim	1	100	0	3	10																									5	15	2	50000	pal
Desert Mercenary	Off-Normal	0	8	744	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	skillname108	30	Zeal	4	90	4	10	10	Blessed Aim	1	100	0	10	10																									5	15	2	50000	pal
Desert Mercenary	Off-Normal	0	8	744	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname108	30	Zeal	4	90	4	18	0	Blessed Aim	1	100	0	18	0																									5	15	2	50000	pal
Desert Mercenary	Comb-Nightmare	0	9	744	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname103	30	Zeal	4	90	4	9	10	Thorns	1	100	0	5	10																									5	15	2	50000	pal
Desert Mercenary	Comb-Nightmare	0	9	744	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname103	30	Zeal	4	90	4	17	10	Thorns	1	100	0	13	0																									5	15	2	50000	pal
Desert Mercenary	Def-Nightmare	0	10	744	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname114	30	Zeal	4	90	4	9	10	Holy Freeze	1	100	0	6	10																									5	15	2	50000	pal
Desert Mercenary	Def-Nightmare	0	10	744	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname114	30	Zeal	4	90	4	17	0	Holy Freeze	1	100	0	14	0																									5	15	2	50000	pal
Desert Mercenary	Off-Nightmare	0	11	744	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname98	30	Zeal	4	90	4	9	10	Might	1	100	0	7	8																									5	15	2	50000	pal
Desert Mercenary	Off-Nightmare	0	11	744	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname98	30	Zeal	4	90	4	17	0	Might	1	100	0	13	8																									5	15	2	50000	pal
Desert Mercenary	Comb-Hell	0	12	744	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname99	30	Zeal	4	90	4	16	10	Prayer	1	100	0	16	0																									5	15	2	50000	pal
Desert Mercenary	Def-Hell	0	13	744	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname104	30	Zeal	4	104	4	16	0	Defiance	1	1000	0	16	0																									5	15	2	50000	pal
